,display_text_width,favorite_count,retweet_count,followers_count,friends_count,polarity,subjectivity,time
8786,73,0,0,2500.0,1505.0,0.125,0.1,9869
8787,149,0,0,1218.0,528.0,0.2166666666666666,0.4583333333333333,9857
8788,117,1,0,278.0,178.0,0.0,0.0,9852
8789,77,2,0,153.0,774.0,0.15625,0.1666666666666666,9851
8790,72,0,0,48.0,151.0,0.0,0.0,9850
8791,87,0,0,654.0,582.0,0.1805555555555555,0.2777777777777778,9844
8792,93,0,0,46.0,28.0,-0.0714285714285714,0.2142857142857142,9840
8793,59,1,0,213.0,1428.0,0.5,0.15,9833
8794,28,0,0,957.0,1025.0,0.0,0.0,9202
8795,97,0,0,7.0,19.0,0.0,0.0,9830
8796,109,1,0,81.0,131.0,0.1363636363636363,0.4545454545454545,9827
8797,42,0,0,14243.0,4648.0,0.0,0.0,9823
8798,67,0,1,8.0,79.0,0.0,0.0,9817
8799,59,0,0,109.0,888.0,0.0,0.0,9815
8800,87,1,1,51.0,109.0,0.35,0.3,9813
8801,45,0,0,9.0,130.0,0.0,0.0,9812
8802,123,32,12,425.0,280.0,0.0,0.0,9812
8803,23,0,0,53.0,98.0,0.0,0.0,9811
8804,76,1,1,325.0,881.0,0.4333333333333333,0.8333333333333334,9807
8805,99,0,0,554.0,2.0,0.4333333333333333,0.8333333333333334,9807
8806,83,1,0,615.0,595.0,0.0,0.0,9805
8807,17,0,0,147.0,449.0,0.0,0.0,9800
8808,48,0,0,3623.0,889.0,0.0,0.0,9031
8809,31,1,0,144.0,200.0,0.0,0.0,9798
8810,26,0,0,191.0,108.0,0.5,0.6,9798
8811,38,0,0,448.0,298.0,0.0,0.0,9796
8812,30,0,0,402.0,89.0,0.4333333333333333,0.8333333333333334,9794
8813,17,1,0,17.0,82.0,0.0,0.0,9726
8814,33,2,0,642.0,1080.0,0.0,0.0,9792
8815,78,0,0,1598.0,797.0,0.175,0.2,9792
8816,141,0,0,1345.0,518.0,-0.1,0.3,9792
8817,191,5,3,486.0,779.0,0.0,0.25,9790
8818,17,0,0,97.0,390.0,0.0,0.0,9787
8819,279,2,0,18208.0,999.0,0.0475,0.2274999999999999,9779
8820,68,5,0,0.0,2.0,0.35,0.1,1779
8821,43,5,0,144.0,106.0,0.0,0.0,2488
8822,124,0,0,930.0,766.0,0.0,0.0,9779
8823,92,0,0,126.0,17.0,0.4333333333333333,0.8333333333333334,9779
8824,61,0,0,1218.0,435.0,0.2,0.2,9777
8825,138,12,1,249.0,243.0,0.2249999999999999,0.5125,9776
8826,87,0,0,2111.0,1998.0,0.15,0.6,9774
8827,18,2,0,79.0,88.0,0.0,0.0,9774
8828,96,0,0,195.0,332.0,0.5166666666666667,0.8666666666666667,9765
8829,31,0,0,70.0,240.0,0.7,0.6000000000000001,9763
8830,39,0,0,271.0,915.0,0.0,0.0,9760
8831,60,0,0,58.0,548.0,0.0,0.0,9756
8832,43,2,0,828.0,939.0,0.1363636363636363,0.4545454545454545,4587
8833,92,2,1,144.0,118.0,0.0,0.0,9755
8834,35,0,1,764.0,1065.0,0.0,0.0,9754
8835,110,0,0,1777.0,691.0,0.0852272727272727,0.2272727272727272,9754
8836,80,0,0,497.0,676.0,0.0666666666666666,0.6,9748
8837,54,3,0,2525.0,2015.0,0.0,0.0,9747
8838,37,0,0,184.0,507.0,0.85,1.0,9742
8839,56,2,0,1406.0,88.0,0.35,0.3,9740
8840,39,0,0,1.0,74.0,0.0,0.0,9738
8841,88,1,0,195.0,470.0,-0.1767676767676767,0.5404040404040404,9733
8842,70,13,1,336.0,256.0,0.0,0.0,9733
8843,75,3,3,474.0,625.0,0.0,0.0,7018
8844,166,2,0,18.0,53.0,0.4333333333333333,0.8333333333333334,9732
8845,102,6,0,191.0,407.0,0.075,0.025,9729
8846,80,0,0,32.0,24.0,0.7583333333333333,0.8761904761904762,9727
8847,128,0,0,3716.0,4949.0,0.0,0.0,9726
8848,19,0,0,1199.0,357.0,0.0,0.0,9723
8849,32,1,0,6.0,4.0,-0.244140625,0.3,9723
8850,73,2,0,241.0,748.0,0.15,0.1166666666666666,9722
8851,173,0,0,5692.0,4981.0,0.0269016697588125,0.424177145605717,9716
8852,134,1,0,861.0,440.0,0.1,0.225,9712
8853,146,1,0,761.0,359.0,0.1,0.15625,9709
8854,78,0,0,533.0,499.0,0.0,0.0,9706
8855,47,0,0,294.0,436.0,0.15,0.75,9546
8856,88,1,0,180.0,230.0,0.0,0.0,9706
8857,26,0,0,779.0,752.0,0.0,0.0,9703
8858,51,4,0,123.0,146.0,0.0,0.0,9691
8859,20,0,0,2923.0,992.0,0.0,0.0,9688
8860,205,6,1,1693.0,1225.0,0.4333333333333333,0.8333333333333334,9685
8861,73,1,0,1104.0,451.0,0.0,0.0,9683
8862,85,2,0,1207.0,634.0,0.05,0.2125,9543
8863,24,0,0,1053.0,922.0,0.0,0.0,9681
8864,33,0,0,217.0,222.0,-0.4,0.4,9681
8865,74,1,0,12.0,280.0,0.0,0.0,9678
8866,174,2,1,315.0,119.0,0.4310606060606061,0.7257575757575757,9678
8867,59,0,1,500.0,940.0,0.0,0.0,9677
8868,48,1,0,500.0,503.0,0.0,0.5,9670
8869,140,2,0,1171.0,612.0,0.0059523809523809,0.4226190476190476,9669
8870,91,1,0,1319.0,364.0,-0.1,0.2,9667
8871,39,0,0,0.0,16.0,0.0,0.0,9662
8872,150,2,0,417.0,697.0,0.4,0.8,9661
8873,39,0,0,1432.0,229.0,0.0,0.0,9659
8874,275,0,0,166.0,307.0,0.0283333333333333,0.2423333333333333,3585
8875,36,0,0,3338.0,1001.0,0.0,0.0,2346
8876,91,0,0,822.0,625.0,-0.0972222222222222,0.4448412698412698,9658
8877,43,1,0,670.0,302.0,0.0249999999999999,0.75,1898
8878,79,0,0,264.0,219.0,0.0,0.0,9657
8879,48,4,0,349.0,354.0,0.1065340909090909,0.2272727272727272,9655
8880,98,0,0,739.0,663.0,0.0,0.0,9652
8881,83,0,0,3104.0,1492.0,0.01953125,0.221875,8370
8882,47,2,0,3410.0,856.0,0.15,0.35,9647
8883,55,1,1,19.0,154.0,0.0346153846153846,0.7307692307692308,9644
8884,63,2,0,258.0,462.0,0.0,0.0,9643
8885,88,31,1,506.0,129.0,0.2666666666666666,0.5499999999999999,2281
